sentence1,sentence2,label
"Одтой тэнгэр орчиж, олон улс байлдаж, орондоо унтах завгүй олзлон булаалдаж байв.","Олз булаалдан тэмцэж, олон улс орондоо унтах ч завгүйгээр байлдаж байв.","1"
"Хөрст дэлхий хөрвөж, хөвчин улс хямралдаж, хөнжилдөө унтах завгүй хөнөөлдөн тэмцэж байв.","Хамаг улс хямарч, хөрсөн дэлхий доройтож, хөнжлөөсөө гарч амжилгүй хоорондоо байлдаж байв.","1"
"Олон улс байлдаж, орондоо унтах завгүй байв.","Төр улс хоорондоо байлдаж, унтах завгүйгээр тэмцэлдэж байв.","1"
"Одтой тэнгэр орчиж, олон улс байлдаж байв.","Олон улс хоорондоо өрсөлдөж, одтой тэнгэрийн дор байлдаж байв.","1"
"Орондоо унтах завгүй, олзлон булаалдаж байв.","Олз булаалдан тэмцэлдэж, унтах ч завгүй болжээ.","1"
"Хөрст дэлхий хөрвөж, хөнжилдөө унтах завгүй тэмцэж байв.","Дэлхий өөрчлөгдөж, хүмүүс унтах ч завгүй байлдаж байв.","1"
"Хөнжилдөө унтах завгүй, хөнөөлдөн тэмцэж байв.","Хүмүүс унтах завгүй, хөнөөлийн тэмцэл өрнүүлж байв.","1"
"Олзлон булаалдаж байв.","Хүмүүс бие биенээсээ олз булаалдаж байв.","1"
"Тэнгэрийн дор олон улс байлдаж, орондоо унтах завгүй байв.","Олз булаалдан тэмцэлдэж, тэнгэрийн дор улсууд хоорондоо байлдаж байв.","1"
"Хөрст дэлхий хөрвөж, хөвчин улс хямралдаж байв.","Улсуудын дотор үймээн самуун болж, дэлхий өөрчлөгдөн байв.","1"
"Тэнгэр орчиж, улс орон хямралдаж байв.","Дэлхий орчиж, улс орон байлдаж байв.","1"
"Одтой тэнгэр орчиж, олон улс байлдаж байв.","Хүн ард олон улс хоорондоо тэмцэлдэж, тэнгэрт одод гялалзаж байв.","1"
"Олон улс орондоо унтах завгүй байлдаж байв.","Бүх улс хөнжилдөө амсхийх завгүй тэмцэлдэж байв.","1"
"Тэнгэр орчиж, хүмүүс тэмцэлдэж байв.","Хүмүүс хоорондоо байлдаж, тэнгэр өөрчлөгдөж байв.","1"
"Хөрст дэлхий өөрчлөгдөж байв.","Улсууд хоорондоо тэмцэлдэж, дэлхий хөрвөж байв.","1"
"Олон улс орондоо унтах завгүй байлдаж байв.","Олон улс хоорондоо унтах завгүй тэмцэлдэж байв.","1"
"Тэнгэр орчиж, улсууд хоорондоо байлдаж байв.","Улсууд хоорондоо өрсөлдөж, тэнгэр өөрчлөгдөж байв.","1"
"Тэмцэл өрнөж, улсууд байлдаж байв.","Улс орон хямарч, тэмцэл өрнөж байв.","1"
"Хүмүүс хөнжилдөө унтах завгүй байлдаж байв.","Олз булаалдан унтах завгүйгээр байлдаж байв.","1"
"Улсууд хоорондоо тэмцэлдэж байв.","Олз булаалдан улсууд тэмцэлдэж байв.","1"
"Хүмүүс хоорондоо хөнөөлдөн тэмцэж байв.","Хүмүүс хоорондоо байлдаж, хөнөөлдөн тэмцэж байв.","1"
"Хуучин монгол хэлнээс одоогийн монгол бичгийн хэлээр Цэндийн Дамдинсүрэн орчуулав.","Цэндийн Дамдинсүрэн хуучин монгол хэлийг өнөөгийн монгол бичгийн хэлэнд хөрвүүлсэн.","1"
"Хүн төрөлхтний соёл нь бичиг, зохиолтой гүн холбогдолтой.","Хүн төрөлхтний соёл бичиг, уран зохиолтой салшгүй холбоотой.","1"
"Аливаа үндэстний аж ахуй ба соёлын хөгжилт нь ургамал мэт өсөж ирэхэд түүний ишийн хумьсан товч дэлгэж, уран зохиолын цэцгийг нээнэ.","Аливаа үндэстэн ургамал мэт өсөж хөгжихдөө уран зохиолын анхны цэцгийг дэлгэдэг.","1"
"Үндэстэн бүрд ийм уран зохиолын анхны цэцэг, дурсгалт бичиг байна.","Бүх үндэстэнд анхны уран зохиолын дурсгалт бүтээл байдаг.","1"
"Орост X зууны үед зохиогдсон «Игорийн Хорооны үг» гэдэг сайхан зохиол бий.","Оросын арван зуунд «Игорийн Хорооны үг» нэртэй сайхан бүтээл бий.","1"
"Гүржид ХII зууны үед Шота Руставелийн зохиосон «Барсан хэвнэгт баатар» гэдэг шүлэглэсэн зохиол бий.","Гүржид XII зуунд Шота Руставели «Барсан хэвнэгт баатар» нэртэй шүлэглэсэн зохиол бичжээ.","1"
"Францад «Роландын дуулал» гэдэг их Карл хааны байлдааны түүхийг авч бичсэн зохиол бий.","Францын түүхэнд их Карл хааны тухай өгүүлсэн «Роландын дуулал» нэртэй зохиол бий.","1"
"Грект «Илиада, Одиссей» гэдэг хэдэн мянган жилийн урьд зохиогдсон сайхан үлгэр бий.","Грект хэдэн мянган жилийн өмнө бичигдсэн «Илиада, Одиссей» нэртэй алдартай үлгэр бий.","1"
"Тэрчлэн манай монгол үндэстний анхны түүхт дурсгалын зохиол бол Монголын нууц товчоо гэдэг зохиол мөн.","Монголын анхны түүхт уран зохиол бол Монголын нууц товчоо юм.","1"
"Нууц товчоог олон үндэстний эртний уран зохиолын нэрт дурсгалын бичгүүдтэй зэрэгцүүлэн тавьж жишээлэн хэлэлцэж болно.","Нууц товчоог олон орны эртний алдартай уран зохиолын дурсгалуудтай харьцуулан хэлэлцэх боломжтой.","1"
"Тэр эрт холын цагт монголын ард түмний дотор уран үгийг холбож түүхт их явдлыг найруулан бичих цэцэн билигтэй, гэгээн боловсролтой хүмүүс байсан байна.","Эрт цагт монголын ард түмний дунд түүхэн явдлыг уран үгсээр холбон бичдэг цэцэн мэргэн хүмүүс байсан байна.","1"
"Нууц товчоог зохиосон хүний нэр байхгүй бөгөөд нууц товчооны дэвтрийн тоо хуваарь тодорхойгүй.","Нууц товчоог зохиогчийн нэр тодорхойгүй бөгөөд дэвтрийн тоо нь ч бас тодорхойгүй.","1"
"15 буюу 12 дэвтэр болж хуваарилагдах боловч 1908 онд хятадын нэг эрдэмтэн Ей Дэхуй оршил бичиж гаргасан Юань улсын үеийн дармал Нууц товчооны эхэд 12 дэвтэр байна.","15 эсвэл 12 дэвтэрт хуваагддаг гэж үздэг боловч 1908 онд хятадын эрдэмтэн Ей Дэхуй Нууц товчооны 12 дэвтрийг Юань улсын дармал эхээр хэвлүүлсэн байна.","1"
"Энэ нь чухам үнэн хуваарь нь мөн болоод тэргүүн арван дэвтэр нь урьд зохиогдсон ба дараа нэмсэн нь хоёр дэвтэр болно.","Энэ хуваарь нь үнэн байж, эхний 10 дэвтэр урьд зохиогдсон, дараа нь 2 дэвтрийг нэмж бичсэн гэж үздэг.","1"
"Энэ нэмэлт хоёр дэвтэрт Өгөөдэй хааны үеийн явдлыг бичсэн ба нөгөө уул зохиол арван дэвтэрт Монголын анхны гарлаас аваад Чингис хааны эцэс хүртэл болсон явдлуудыг тоочжээ.","Нэмэлт хоёр дэвтэрт Өгөөдэй хааны үеийн түүхийг бичсэн бол эхний 10 дэвтэрт Монголын анхны гарал үүслээс Чингис хааны төгсгөл хүртэлх явдлыг бичжээ.","1"
"Эдгээр тоочсон бүлгээс үзвэл Чингисийн үеийн зөвхөн түүх мэт боловч үнэндээ тийм биш, ардын аман үлгэрийн дээр үндэслэсэн бөгөөд тэр цагийн ардын дуу, цэцэн үг, шүлэглэлийг өргөнөөр гаргажээ.","Эдгээр бүлгүүдээс харахад Чингисийн үеийн түүх биш, харин ардын аман зохиол, дуу шүлэг дээр үндэслэсэн байна.","1"
"Бүлэг бүрд хорь гучин шүлэг байна.","Бүлэг бүрт дунджаар хорин гучин шүлэг орсон байдаг.","1"
"Хүний яриа ба хэлүүлсэн үгс их төлөв шүлэг байна.","Хүмүүсийн хэлсэн үг ихэнхдээ шүлэглэсэн байдаг.","1"
"Энэ зохиолд эртний монголын хэлний аялгуу ба үг холбох найруулах хийгээд шүлэглэсэн ба үргэлжилсэн зохиолын жишээ бүрэн гарчээ.","Энэ бүтээлд эртний монгол хэлний онцлог, шүлэг найруулга бүхэлдээ багтсан байна.","1"
"Нууц товчоо бол XIII зууны үед Монголын их улс мандах цагт Монгол орны дотор болсон явдлуудыг чухам үнэнээр гаргаж бичсэн учраас түүхийн хосгүй баримт бичиг болжээ.","Нууц товчоо XIII зуунд Монголын их гүрний үүсэл гарлыг үнэнээр бичсэн түүхийн чухал дурсгал юм.","1"
"Энэ зохиолд Монголын дотор болсон явдлыг дэлгэрэнгүй гаргах бөгөөд Монголын цэрэг гадагш довтолж байлдсан тухай төдий л дэлгэрэнгүй гарахгүй.","Энэ зохиолд Монгол доторх явдлыг ихэнхдээ нарийвчлан өгүүлсэн боловч гадаад довтолгооны талаар дэлгэрэнгүй биш.","1"
"Гэвч Монголын цэрэг баруун зүг довтолж байлдсан явдлыг тэр цагийн Иран улсын их сайд эрдэмтэн Рашид Эддиний зохиосон Монголын түүх нөхөж өгнө.","Монгол цэргийн баруун зүг довтолсон түүхийг Ираны сайд Рашид Эддин өөрийн зохиолд дэлгэрэнгүй бичсэн.","1"
"Рашид Эддин, энэ түүхийг XIV зууны үед, монгол сайд Болод чансан ба бусад хэдэн монгол хүнтэй хамтарч, Ираны монгол хааны номын санд байсан олон монгол номыг хэрэглэж байгаад зохиосон байна.","Рашид Эддин XIV зуунд Болод чансан болон бусад монголчуудтай хамтран, Ираны хааны номын санд байсан олон монгол номыг ашиглан энэ түүхийг зохиосон.","1"
"Мөн Монгол, Хятадын холбогдолтой түүхт явдлууд Нууц товчооны дотор товч гарах боловч энэ тухай Хятадын түүхч нар их л дэлгэрэнгүйгээр бичсэн тул нөхөгдөж ирнэ.","Нууц товчоонд Монгол-Хятадын харилцааны явдлууд товч дурдагдсан боловч Хятадын түүхчид үүнийг дэлгэрэнгүйгээр бичжээ.","1"
"Юань улсын мөхсөний дараа Хятадын Мин улсын үед Монголын түүх, Юань ши гэдэг их судрыг зохиосон ба өөр ч олон зүйлийн Монголын түүхийн бичиг хятад хэл дээр бий.","Юань улсын дараах Хятадын Мин улсын үед «Юань ши» гэх түүхийн ном болон өөр олон Монголын түүх хятад хэлээр бичигдсэн байна.","1"
"Нууц товчоог монгол хүн, монгол нутагт зохиосон тул гадаадын түүхч нарын зохиолоос онц ялгавартай, чухал холбогдолтой болно.","Нууц товчоог монгол хүн зохиосон тул бусад орны түүхүүдээс өөр, онцлогтой баримт бичиг юм.","1"
"Нууц товчоо гэдэг зохиолын тухай Оросын эрдэмтэн Владимирцов «Монголын нийгмийн байгуулал» гэдэг номын 6 дугаар нүүрт бичсэн нь: «Дундад зууны үед нэг ч үндэстэн, Монголын адилаар түүхч нарын анхаарлыг татсангүй гэж хэлж болох бол бас Нууц товчооны адилаар жинхэнэ амьдралыг тодорхой дүрслэн үзүүлсэн дурсгалт бичгийг нэг ч нүүдэлчин үндэстэн үлдээсэнгүй гэдгийг тэмдэглэвэл зохино» гэжээ.","Оросын эрдэмтэн Владимирцов Монголын нууц товчооны тухай: «Энэ ном бол жинхэнэ амьдралыг үнэн зөвөөр дүрсэлсэн нүүдэлчдийн хамгийн том дурсгалт бүтээл» гэж тэмдэглэжээ.","1"
"Нууц товчоо бол XIII зууны үеийн Монголын түүхийн талаар хамгийн дэлгэрэнгүй баримт бичиг юм.","Нууц товчоо XIII зууны Монголын түүхийг бүх талаас нь бүрэн хамарсан эх сурвалж биш.","0"
"Энэ зохиол бол Монголын түүхийн хосгүй баримт болохоос гадна монгол ардын оюуны чадварыг гэрчилсэн гайхамшигт уран зохиол мөн.","Энэ бүтээл нь Монголын түүхийг төдийгүй, ардын оюун ухааныг нотолсон гайхамшигт дурсгал юм.","1"
"Нууц товчоог XIII зууны үед зохиогдсон ганц яруу зохиол гэж үзэж болохгүй.","Нууц товчоо бол XIII зууны үеийн ганц яруу зохиол биш юм.","1"
"Жишээлж хэлбэл, халцгай цөлд ганц өндөр нарс ургадаггүй, өндөр нарс их ойн дунд, өндөр нам олон арсны зэргэлдээ ургадаг биш үү.","Жишээлбэл, ганц өндөр нарс ургасан ойн жишээг авч үзвэл Нууц товчоо нь тэр нарс мэт гайхамшигт зохиол.","1"
"Тэрчлэн өндөр сайхан нарс мэт сүндэрлэсэн Нууц товчоо гэдэг зохиол бол тэр урьд цагт байсан яруу сайхан олон зохиолын эг нь мөн гэж бодож болно.","Нууц товчоо нь урьд өмнө байсан олон яруу сайхан зохиолын төлөөлөгч гэж үзэж болно.","1"
"Бусад олон зохиол нь яасан бэ гэж асуувал гээгдэж, цагийн урсгалд элэгдэж сүйджээ гэж хариулж болно.","Бусад олон зохиол цагийн урсгалд элэгдэж, устсан гэж хариулж болно.","1"
"Манай нүүдэлчин монголчуудад юм хадгалах тохитой байшин сав байхгүй ба олон удаа дайн байлдааны хөлд орж байсан учраас ном бичгээ хялбархан үрэгдүүлдэг байжээ.","Нүүдэлчин монголчуудын хувьд ном бичиг хадгалах боломжгүй байсан тул олон бичиг баримт дайн байлдааны улмаас устжээ.","1"
"Хэдийгээр монголын ард түмний түүхт цагийн дотор бүтээсэн уран бүтээлийн үнэт зүйлийн үлэмж хэсэг нь харамсалтайгаар үрэгдсэн боловч хуучин үеэс Нууц товчоо, Гэсэр, Жангар гэдэг гурван сайхан зохиол соёлын өв болж үлдсэн байна.","Монголын олон уран бүтээлүүд устсан боловч Нууц товчоо, Гэсэр, Жангар гурван зохиол өнөөг хүртэл хадгалагдаж ирсэн байна.","1"
"Нууц товчоо ба Жангар, Гэсэр гурвыг монголын хуучин зохиолын гурван оргил гэвэл зохино.","Нууц товчоо, Жангар, Гэсэр зохиолууд Монголын хуучин уран зохиолын дээд оргилууд юм.","1"
"Эдгээрт монголчуудын аж амьдрал ба сэтгэл хүсэл бүрэн илрэн арчээ.","Эдгээр зохиолуудад монголчуудын амьдрал, хүсэл мөрөөдөл тодорхой гарчээ.","1"
"Баруун Монголд боловсорсон Жангарын тууж гэдэг арван хэдэн бүлэг үлгэрт ардын жаргалант аж амьдралыг хүсэх санал тодорхой гарчээ.","Баруун Монголд бичигдсэн Жангарын туужид ардын хүсэл мөрөөдөл тодорхой туссан.","1"
"Гэсэрийн уужид дарлагч анги ноёд лам нарыг эсэргүүцэх ардын санал илэрхий үзэгдэв.","Гэсэр зохиолд ардын анги ноёд лам нарыг эсэргүүцэх үзэл тод гарчээ.","1"
"Монголын Нууц товчоонд хоорондоо ямагт тэмцэлдэгч төрлийн ба феодалын бутархай жижиг аймгуудыг эсэргүүцэж төвлөн нэгдсэн улс байгуулах хүсэл тодорчээ.","Нууц товчоонд жижиг феодалын аймгуудыг эсэргүүцэж нэгдсэн улсыг байгуулах хүсэл тод гарсан.","1"
"Төрөл овгийн байгуулалтаас феодалын нийгэмд шилжих ба жижиг бутархай феодалын ёсноос төвлөсөн улс болох явдал нь түүхийн шатны талаар нэг алхам урагш дэвшсэн хэрэг мөн.","Феодалын нийгэмд шилжих явц нь түүхийн шатанд нэг алхам урагшилсан үйл явц гэж үзэж болно.","1"
"Нууц товчоо XIII зууны үед монголчуудын бичсэн хамгийн сайхан зохиол юм.","Нууц товчоо нь XIII зууны Монголын хамгийн том түүхэн баримт биш.","0"
"Монголчуудын түүхийн томоохон ном бол зөвхөн Нууц товчоо биш юм.","Нууц товчоо бол Монголын цорын ганц том түүхэн ном биш юм.","0"
"Нууц товчоонд Чингисийн төвлөсөн улсыг байгуулж, монгол үндэстнийг нэгтгэн захирсан явдлыг сайшаан магтахаас гадна, Чингисийн догшин бурангуй талыг бас нуусангүй.","Нууц товчоонд Чингис хааны төвлөсөн улсыг байгуулсан болон догшин талыг нууцаар бичсэн байна.","1"
"Чухам тэр цагийн олны байдлыг нүдний өмнө ил харах мэт тодорхойгоор бичсэн байна.","Нууц товчоонд XIII зууны байдлыг тодорхой бичсэн нь хүмүүсийн амьдралыг нүдээр үзсэн мэт ойлгогдоно.","1"
"Тэр цагийн Монгол оронд нэгдсэн улс байсангүй.","Тэр үед Монголын улс төрийн нэгдмэл байдал байхгүй байсан.","1"
"Олон жижиг язгууртан ноёд хэсэг хэсэг аймаг, отгийг тэргүүлээд хоорондоо ямагт хямралдан тэмцэлдэнэ.","Нууц товчоонд Монголын олон жижиг язгууртнууд хоорондоо байнга тэмцэж байсан гэж дурджээ.","1"
"Нууц товчооны дотор тэр цагийн Монголын байдлыг бичсэн нь: «Одтой тэнгэр орчиж Олон улс байлдаж Орондоо унтах завгүй Олзлон булаалдаж байв».","Нууц товчоонд Монголын байдал хэрхэн байгааг дүрсэлсэн: олон улс байлдаж, орондоо унтах завгүй олзлон булаалдсан тухай өгүүлжээ.","1"
"«Хөрст дэлхий хөрвөж Хөвчин улс хямралдаж Хөнжилдөө унтах завгүй Хөнөөлдөн тэмцэж байв» (Нууц товчооны 254 дүгээр зүйл)","Нууц товчоонд Монголын улс төрийн тэмцэлтэй цаг үеийг дүрсэлсэн мөрүүд: «Хөрст дэлхий хөрвөж, хөнжилдөө унтах завгүй хөнөөлдөн тэмцсэн» гэжээ.","1"
"Ийм эв найргүй, шуудайд хийсэн олон эвэр мэт чиг чигээрээ толгойгоо мэдэж тэмцсэн Монголын олон овог аймгийг нэгтгэж нэг улс гэр болгож бүтээсэн боломжтой явдлыг Нууц товчооны дотор магтан бичнэ.","Монголын олон овог аймгуудыг нэгтгэн улс болгосон явдлыг Нууц товчоонд магтан бичсэн байдаг.","1"
"Чингис хаан тэргүүтэй Монголын язгууртан гадагш өнгөлзөж, зэргэлдээ суугаа тэр цагийн соёлжсон улсуудыг сүйтгэсэн хэрцгий явдлыг өгүүлжээ.","Нууц товчоонд Чингис хаан болон язгууртнуудын гадаад түрэмгийлэл, соёлжсон улсуудыг сүйтгэсэн явдлыг өгүүлжээ.","1"
"Чингис хаан ба түүний өрлөгүүдийн хэрцгий түрэмгий байдлыг Нууц товчоонд бичсэн нь: «Ширмэн төмөр магнайтай Шивээ хурц хэлтэй Ган төмөр зүрхтэй».","Чингис хаан болон өрлөгүүдийн хэрцгий байдлыг «Ширмэн төмөр магнайтай, шивээ хурц хэлтэй» гэх мэтээр Нууц товчоонд дүрсэлжээ.","1"
"«Галзуу дөрвөн нохой Түмэн амьтныг хядахаар Төмөр гинжнээс мултарч Шууд барьж идэхээр Шунахай шүлсээ Савируулж айсуй»","Чингис хааны ноёдыг «Галзуу дөрвөн нохой» гэж дүрсэлсэн мөрүүд Нууц товчоонд гардаг.","1"
"«Шүүдрээр унд хийж Шүлсээр хоол хийж Салхиар унаа хийж Саадгаар нөхөр хийж явдаг Зэв, Хубилай тэргүүтэй Зэлмэ, Сүбээдэй дараатай Тэр дөрвөн ноход Тэмүүлэн хүрч ирэв» гэжээ.","Нууц товчоонд Зэв, Хубилай, Зэлмэ, Сүбээдэй нарыг «дөрвөн нохой» гэж дүрсэлсэн мөрүүд.","1"
"Монголчууд хоорондоо хямралдаж, тэмцэлдэж байсан нь Нууц товчооны гол сэдэв юм.","Нууц товчооны гол агуулга нь Монголчуудын эв нэгдлийг магтан дуулсан.","0"
"Чингис хааны догшин байдал Нууц товчоонд тусгагдаагүй.","Нууц товчоонд Чингис хааны догшин түрэмгий байдал тодорхой бичигдээгүй.","0"
