sentence1,sentence2,label
"Нян буюу бактери нь ямар нэгэн амьд бие махбодийн бий болгосон шим бодисоор хооллодог, ганц эстэй нүүдэллэдэг амьд бие юм.","Нян нь ганц эстэй, нүүдэллэдэг амьд бие бөгөөд шим бодисоор хооллодог.",1
"Нян нь тодорхой хэлбэр дүрстэй, өсөж үржих, удамшиж хувьсах чадвартай, эсийн ханатай, нэг эст, прокариотын бүлэгт хамаарах бичил биет юм.","Нян нь тодорхой хэлбэр дүрстэй, өсөж үржих, удамшиж хувьсах чадвартай, эсийн ханатай, нэг эст, прокариотын бүлэгт хамаарах бичил биет юм.",0
"Бактерийн эс нь 0,3-5 мкм хэмжээтэй.","Нян нь тодорхой хэлбэр дүрстэй, өсөж үржих, удамшиж хувьсах чадвартай, эсийн ханатай, нэг эст, прокариотын бүлэгт хамаарах бичил биет юм.",0
"Бактерийг микроскопоор 500-1000 дахин томруулан харахад бөмбөлөг /coccus/, савханцар /bacillus/, мушгиа /spiralis/ гэсэн 3 төрлийн хэлбэртэй харагддаг.","Бактерийг микроскопоор 500-1000 дахин томруулан харахад 3 төрлийн хэлбэртэй байдаг: бөмбөлөг /coccus/, савханцар /bacillus/, мушгиа /spiralis/.",1
"Бөмбөлөг(кокк) хэлбэртэй бактерийг хуваагдлын дараах байрлалаар нь нэрлэдэг.","Бөмбөлөг(кокк) хэлбэртэй бактерийг хуваагдлын дараах байрлалаар нэрлэдэг: монококк, диплококк, тетракокк, сарцин, стрептококк, стафилококк.",1
"Савханцар хэлбэрийн бактерийг байрлал, төгсгөл, голчийн хэмжээгээр нь ангилдаг.","Савханцар хэлбэрийн бактерийг байрлал, төгсгөл, голчийн хэмжээгээр ангилдаг.",1
"Мушгиа хэлбэрийн бактерийг вибрион, спирилл гэж ангилдаг.","Мушгиа хэлбэрийн бактерийг вибрион-мушгиа хэлбэртэй, спирилл-хэд хэдэн гогцоотой гэж ангилдаг.",1
"Капсултай бактерийн колони чийглэг, гялалзсан, наалдамхай байдаг.","Капсултай бактерийн колони нь чийглэг, гялалзсан, наалдамхай шинж чанартай байдаг.",1
"Капсул нь бактерийг эукариот эсээс хамгаалдаг.","Капсул нь бактерийг эукариот эсийн фагоцитозоос хамгаалдаг.",1
"Streptococcus pneumoniae капсулгүй үед уушгийг үрэвсүүлдэггүй.","Streptococcus pneumoniae капсулгүй үедээ уушгийг үрэвсүүлдэггүй.",0
"Капсул нь олон төрлийн гадарт наалддаг.","Капсул нь олон төрлийн гадарт наалддаг.",1
"Slime layer нь капсултай адил боловч эсийн ханатай нягт барьцалдаагүй.","Slime layer нь химийн бүрдлээрээ капсултай ижил боловч эсийн ханатай нягт барьцалдаагүй байдаг.",1
"Пептидогликан буюу муреин эсийн ханыг бүрдүүлдэг.","Пептидогликан буюу муреин нь эсийн ханыг бүрдүүлдэг.",1
"Эсийн хана нь пептидогликанаас бүрдэнэ, энэ нь хоёр төрлийн сахарын нэгдэл болон амин хүчил ордог.","Эсийн хана пептидогликанаас бүрддэг бөгөөд үүнд хоёр төрлийн сахарын нэгдэл болон амин хүчил ордог.",1
"Пептидогликаны нимгэн, зузаан; амин хүчил болон эсийн ханы бусад нэгдлээс хамааран бактерийн эсийн хана хоёр төрөл байна.","Пептидогликаны нимгэн болон зузаан төрлүүдийг амин хүчил болон эсийн ханы бусад нэгдлээс хамаарч ангилдаг.",1
"Грам эерэг бактерийн эсийн хана пептидогликаны давхаргатай, L-ala-D-glu-L-lys-D-ala тетрапептид агуулдаг.","Грам эерэг бактерийн эсийн хана пептидогликаны давхаргатай бөгөөд L-ala-D-glu-L-lys-D-ala тетрапептид агуулдаг.",1
"Грам сөрөг бактерийн эсийн хана пептидогликаны нимгэн давхаргатай, гадар мембрантай, ЛПС болон липопротейн агуулдаг.","Грам сөрөг бактерийн эсийн хана нь пептидогликаны нимгэн давхаргатай бөгөөд гадар мембрантай, ЛПС болон липопротейн агуулдаг.",1
"Грам эерэг бактерийн эсийн хананд тейхийн хүчил байдаг, рибит болон глициринтэй хоёр төрөлтэй.","Грам эерэг бактерийн эсийн хананд тейхийн хүчил байх бөгөөд рибит болон глициринтэй хоёр төрөлтэй байдаг.",1
"Грам сөрөг бактерийн эсийн хана фосфолипид, ЛПС, липопротейнийг агуулдаг бөгөөд периплазмын зайтай.","Грам сөрөг бактерийн эсийн хана фосфолипид, ЛПС, липопротейн агуулдаг бөгөөд периплазмын зайтай байдаг.",1
"ЛПС нь эсийн ханыг нэвтлэн гадагш цухуйж байрладаг.","ЛПС нь цитоплазмын мембранаас эхэлж, эсийн ханыг нэвтлэн гадагш цухуйж байрладаг.",1
"ЛПС-ийн полисахаридан хэсэг эсрэгтөрөгчийн шинжтэй, липид нь хорын идэвхтэй.","ЛПС-ийн полисахаридан хэсэг нь эсрэгтөрөгчийн шинжтэй бөгөөд липид нь хорын идэвхтэй байдаг.",1
"Липопротейн нь гадар мембраныг эсийн ханатай бэхлэнэ.","Липопротейн нь гадар мембраныг эсийн ханатай бэхлэдэг.",1
"Грам сөрөг бактерийн эсийн хананд порин, non-porin уургууд байна.","Грам сөрөг бактерийн эсийн хананд порин, non-porin уургууд байх бөгөөд үүнийг ялгах боломжтой.",1
"Грам сөрөг бактерийн эсийн хана пептидогликаны нимгэн давхаргатай, гадар мембрантай, ЛПС болон липопротейн агуулдаг.","Грам сөрөг бактерийн эсийн хана нь пептидогликаны нимгэн давхаргатай бөгөөд гадар мембрантай, ЛПС болон липопротейн агуулдаг.",1
"Цитоплазмын мембран, эсийн хана хооронд периплазмын зайтай.","Цитоплазмын мембран болон эсийн хана хооронд периплазмын зай байдаг.",1
"ЛПС нь цитоплазмын мембранаас эхэлж, эсийн ханыг нэвтлэн гадагш орон зайд цухуйж байрладаг.","ЛПС нь цитоплазмын мембранаас эхэлж, эсийн ханыг нэвтлэн гадагш орон зайд цухуйж байрладаг.",1
"ЛПС-ийн полисахаридан хэсэг эсрэгтөрөгчийн шинжтэй, липид нь хорын идэвхтэй, эндо-хор гэж нэрлэдэг.","ЛПС-ийн полисахаридан хэсэг нь эсрэгтөрөгчийн шинжтэй бөгөөд липид нь хорын идэвхтэй, эндо-хор гэж нэрлэгддэг.",1
"Липопротейн нь гадар мембраныг эсийн ханатай бэхлэнэ.","Липопротейн нь гадар мембраныг эсийн ханатай бэхлэдэг.",1
"Грам сөрөг бактерийн эсийн хананд порин, non-porin уургууд байна.","Грам сөрөг бактерийн эсийн хана нь порин болон non-porin уургуудыг агуулдаг.",1
"Цитоплазмын мембраны үндсэн бүтэц нь фосфолипид юм.","Цитоплазмын мембраны үндсэн бүтэц нь фосфолипидуудаас бүрддэг.",1
